id,Author list,title,Year,m_control,n_control,sd_control,se_control,m_treatment,n_treatment,sd_treatment,se_treatment,m_Measure,m_Location,Species,Treatment_Type,Treatment_Overall,Treatment_Name,Sex,Dose (compared to AL),Treatment_length,Age_on_treatment,Strain,Other Variables,notes
379,"Mattison, J. A. and Colman, R. J. and Beasley, T. M. and Allison, D. B. and Kemnitz, J. W. and Roth, G. S. and Ingram, D. K. and Weindruch, R. and de Cabo, R. and Anderson, R. M.",Caloric restriction improves health and survival of rhesus monkeys,2017,28.57,8,4.497199128,1.59,26.13,7,7.011240974,2.65,mean,Table 3,rhesus monkeys,Percent Reduction,Dietary restriction,NIA old,female,NA,life,16-21 years,no strain,None,
380,"Mattison, J. A. and Colman, R. J. and Beasley, T. M. and Allison, D. B. and Kemnitz, J. W. and Roth, G. S. and Ingram, D. K. and Weindruch, R. and de Cabo, R. and Anderson, R. M.",Caloric restriction improves health and survival of rhesus monkeys,2017,34.19,10,5.976704778,1.89,34.82,10,6.166441437,1.95,mean,Table 3,rhesus monkeys,Percent Reduction,Dietary restriction,NIA old,male,NA,life,16-23 years,no strain,None,
381,"Mattison, J. A. and Colman, R. J. and Beasley, T. M. and Allison, D. B. and Kemnitz, J. W. and Roth, G. S. and Ingram, D. K. and Weindruch, R. and de Cabo, R. and Anderson, R. M.",Caloric restriction improves health and survival of rhesus monkeys,2017,23.86,15,,,29.68,15,,,median,Table 3,rhesus monkeys,Percent Reduction,Dietary restriction,UW,female,NA,life,9-15 years,no strain,None,
382,"Mattison, J. A. and Colman, R. J. and Beasley, T. M. and Allison, D. B. and Kemnitz, J. W. and Roth, G. S. and Ingram, D. K. and Weindruch, R. and de Cabo, R. and Anderson, R. M.",Caloric restriction improves health and survival of rhesus monkeys,2017,25.67,24,,,22.63,20,,,median,Table 3,rhesus monkeys,Percent Reduction,Dietary restriction,NIA J/A,female,NA,life,1-14 years,no strain,None,
383,"Mattison, J. A. and Colman, R. J. and Beasley, T. M. and Allison, D. B. and Kemnitz, J. W. and Roth, G. S. and Ingram, D. K. and Weindruch, R. and de Cabo, R. and Anderson, R. M.",Caloric restriction improves health and survival of rhesus monkeys,2017,26.11,23,,,28.32,23,,,median,Table 3,rhesus monkeys,Percent Reduction,Dietary restriction,UW,male,NA,life,7-14 years,no strain,None,
384,"Mattison, J. A. and Colman, R. J. and Beasley, T. M. and Allison, D. B. and Kemnitz, J. W. and Roth, G. S. and Ingram, D. K. and Weindruch, R. and de Cabo, R. and Anderson, R. M.",Caloric restriction improves health and survival of rhesus monkeys,2017,27.19,8,,,27.87,7,,,median,Table 3,rhesus monkeys,Percent Reduction,Dietary restriction,NIA old,female,NA,life,16-21 years,no strain,None,
385,"Mattison, J. A. and Colman, R. J. and Beasley, T. M. and Allison, D. B. and Kemnitz, J. W. and Roth, G. S. and Ingram, D. K. and Weindruch, R. and de Cabo, R. and Anderson, R. M.",Caloric restriction improves health and survival of rhesus monkeys,2017,28.78,22,,,26.31,20,,,median,Table 3,rhesus monkeys,Percent Reduction,Dietary restriction,NIA J/A,male,NA,life,1-5 years,no strain,None,
386,"Mattison, J. A. and Colman, R. J. and Beasley, T. M. and Allison, D. B. and Kemnitz, J. W. and Roth, G. S. and Ingram, D. K. and Weindruch, R. and de Cabo, R. and Anderson, R. M.",Caloric restriction improves health and survival of rhesus monkeys,2017,34.78,10,,,37.1,10,,,median,Table 3,rhesus monkeys,Percent Reduction,Dietary restriction,NIA old,male,NA,life,16-23 years,no strain,None,
387,"McCarter, R. J. and Shimokawa, I. and Ikeno, Y. and Higami, Y. and Hubbard, G. B. and Yu, B. P. and McMahan, C. A.",Physical activity as a factor in the action of dietary restriction on aging: effects in Fischer 344 rats,1997,768,40,,,1024,40,,,median,p76+77,rats,Percent Reduction,Dietary restriction,B,male,60%,life,6 weeks,Fischer 344 rats,Exercise,
388,"McCarter, R. J. and Shimokawa, I. and Ikeno, Y. and Higami, Y. and Hubbard, G. B. and Yu, B. P. and McMahan, C. A.",Physical activity as a factor in the action of dietary restriction on aging: effects in Fischer 344 rats,1997,802,40,,,1123,40,,,median,p76+77,rats,Percent Reduction,Dietary restriction,BE,male,60%,life,6 weeks,Fischer 344 rats,Exercise,
389,"McDonald, R. B. and Walker, K. M. and Warman, D. B. and Griffey, S. M. and Warden, C. H. and Ramsey, J. J. and Horwitz, B. A.",Characterization of survival and phenotype throughout the life span in UCP2/UCP3 genetically altered mice,2008,725,34,250.7309315,43,1033,42,136.0955547,21,mean,table 2,mice,Percent Reduction,Dietary restriction,WT-CR,female,70%,life,4 months,C57BL/J6,None,
390,"McDonald, R. B. and Walker, K. M. and Warman, D. B. and Griffey, S. M. and Warden, C. H. and Ramsey, J. J. and Horwitz, B. A.",Characterization of survival and phenotype throughout the life span in UCP2/UCP3 genetically altered mice,2008,818.5,34,,,1053,42,,,median,table 2,mice,Percent Reduction,Dietary restriction,WT-CR,female,70%,life,4 months,C57BL/J6,None,
391,"McKay, A. and Costa, E. K. and Chen, J. and Hu, C. K. and Chen, X. and Bedbrook, C. N. and Khondker, R. C. and Thielvoldt, M. and Priya Singh, P. and Wyss-Coray, T. and Brunet, A.",An automated feeding system for the African killifish reveals the impact of diet on lifespan and allows scalable assessment of associative learning,2022,82.5,24,,,90,25,,,median,figure 4 ,killifish,Percent Reduction,Dietary restriction,DR,female,3 feedings per day,life,4 weeks,GRZ,None,
392,"McKay, A. and Costa, E. K. and Chen, J. and Hu, C. K. and Chen, X. and Bedbrook, C. N. and Khondker, R. C. and Thielvoldt, M. and Priya Singh, P. and Wyss-Coray, T. and Brunet, A.",An automated feeding system for the African killifish reveals the impact of diet on lifespan and allows scalable assessment of associative learning,2022,95,21,,,116,21,,,median,figure 4 ,killifish,Percent Reduction,Dietary restriction,DR,male,3 feedings per day,life,4 weeks,GRZ,None,
393,Mccay,THE EFFECT OF RETARDED GROWTH UPON THE LENGTH OF LIFE SPAN AND UPON THE ULTIMATE BODY SIZE Â,1935,483,14,220.563676,58.94812197,820,13,409.371642,113.5392651,mean,Table2,rats,Percent Reduction,Dietary restriction,Group 2,male,NA,weaning,NA,white rats,None,
394,Mccay,THE EFFECT OF RETARDED GROWTH UPON THE LENGTH OF LIFE SPAN AND UPON THE ULTIMATE BODY SIZE Â,1935,483,14,220.563676,58.94812197,894,15,239.229079,61.76868259,mean,Table2,rats,Percent Reduction,Dietary restriction,Group 3,male,NA,weaning + 2 weeks,NA,white rats,None,
395,Mccay,THE EFFECT OF RETARDED GROWTH UPON THE LENGTH OF LIFE SPAN AND UPON THE ULTIMATE BODY SIZE Â,1935,801,22,252.515329,53.83644903,775,23,431.496825,89.97330763,mean,Table2,rats,Percent Reduction,Dietary restriction,Group 2,female,NA,weaning,NA,white rats,None,
396,Mccay,THE EFFECT OF RETARDED GROWTH UPON THE LENGTH OF LIFE SPAN AND UPON THE ULTIMATE BODY SIZE Â,1935,801,22,252.515329,53.83644903,826,19,313.72154,71.97265733,mean,Table2,rats,Percent Reduction,Dietary restriction,Group 3,female,NA,weaning + 2 weeks,NA,white rats,None,
397,"Mercken, E. M. and Hu, J. and Krzysik-Walker, S. and Wei, M. and Li, Y. and McBurney, M. W. and de Cabo, R. and Longo, V. D.",SIRT1 but not its increased expression is essential for lifespan extension in caloric-restricted mice,2014,108,9,,,151,4,,,median,table s1,mice,Percent Reduction,Dietary restriction,SIRT1+/+ ,male,60%,life,2-5 months,SIRT1,SIRT1,
398,"Mercken, E. M. and Hu, J. and Krzysik-Walker, S. and Wei, M. and Li, Y. and McBurney, M. W. and de Cabo, R. and Longo, V. D.",SIRT1 but not its increased expression is essential for lifespan extension in caloric-restricted mice,2014,95,8,,,130,10,,,median,table s1,mice,Percent Reduction,Dietary restriction,SIRT1+/- ,male,60%,life,2-5 months,SIRT1,SIRT1,
399,"Mercken, E. M. and Hu, J. and Krzysik-Walker, S. and Wei, M. and Li, Y. and McBurney, M. W. and de Cabo, R. and Longo, V. D.",SIRT1 but not its increased expression is essential for lifespan extension in caloric-restricted mice,2014,62,7,,,73,5,,,median,table s1,mice,Percent Reduction,Dietary restriction,SIRT1-/- ,male,60%,life,2-5 months,SIRT1,SIRT1,
400,"Mercken, E. M. and Hu, J. and Krzysik-Walker, S. and Wei, M. and Li, Y. and McBurney, M. W. and de Cabo, R. and Longo, V. D.",SIRT1 but not its increased expression is essential for lifespan extension in caloric-restricted mice,2014,106,7,,,157,8,,,median,table s1,mice,Percent Reduction,Dietary restriction,SIRT1+/- ,female,60%,life,2-5 months,SIRT1,SIRT1,
401,"Mercken, E. M. and Hu, J. and Krzysik-Walker, S. and Wei, M. and Li, Y. and McBurney, M. W. and de Cabo, R. and Longo, V. D.",SIRT1 but not its increased expression is essential for lifespan extension in caloric-restricted mice,2014,66,7,,,93,7,,,median,table s1,mice,Percent Reduction,Dietary restriction,SIRT1-/- ,female,60%,life,2-5 months,SIRT1,SIRT1,
402,merry,"serum profiles of LH, FSH, testosterone and 5 alpha-DHT from 21 to 1000 days of age in ad libitum fed and dietary restricted rats",1981,694,100,,,988,100,,,median,results par1,rats,Percent Reduction,Dietary restriction,DR,male,50%,life,21 days,Sprague-Dawley (CFY strain) rats,None,1 to DR
403,"Merry, B. J. and Holehan, A. M.",Onset of puberty and duration of fertility in rats fed a restricted diet,1979,704,200,,,1090,45,,,median,abstract,rats,Percent Reduction,Dietary restriction,Restricted Diet,female,variable ,life,21 days,CFY Sprague-Dawley rats,None,
404,"Miller, R. A. and Harrison, D. E. and Astle, C. M. and Baur, J. A. and Boyd, A. R. and de Cabo, R. and Fernandez, E. and Flurkey, K. and Javors, M. A. and Nelson, J. F. and Orihuela, C. J. and Pletcher, S. and Sharp, Z. D. and Sinclair, D. and Starnes, J. W. and Wilkinson, J. E. and Nadon, N. L. and Strong, R.","Rapamycin, but not resveratrol or simvastatin, extends life span of genetically heterogeneous mice",2011,780,50,,,888,50,,,median,table 2,mice,Rapamycin,Rapamycin,UT,male,14 mg/kg food,life,9 months,UM-HET3 mice,Genetically homogenous popluation,University of Texas (UT)
405,"Miller, R. A. and Harrison, D. E. and Astle, C. M. and Baur, J. A. and Boyd, A. R. and de Cabo, R. and Fernandez, E. and Flurkey, K. and Javors, M. A. and Nelson, J. F. and Orihuela, C. J. and Pletcher, S. and Sharp, Z. D. and Sinclair, D. and Starnes, J. W. and Wilkinson, J. E. and Nadon, N. L. and Strong, R.","Rapamycin, but not resveratrol or simvastatin, extends life span of genetically heterogeneous mice",2011,800,50,,,841,50,,,median,table 2,mice,Rapamycin,Rapamycin,TJL,male,14 mg/kg food,life,9 months,UM-HET3 mice,Genetically homogenous popluation,The Jackson Laboratory (TJL)
406,"Miller, R. A. and Harrison, D. E. and Astle, C. M. and Baur, J. A. and Boyd, A. R. and de Cabo, R. and Fernandez, E. and Flurkey, K. and Javors, M. A. and Nelson, J. F. and Orihuela, C. J. and Pletcher, S. and Sharp, Z. D. and Sinclair, D. and Starnes, J. W. and Wilkinson, J. E. and Nadon, N. L. and Strong, R.","Rapamycin, but not resveratrol or simvastatin, extends life span of genetically heterogeneous mice",2011,843,50,,,1006,50,,,median,table 2,mice,Rapamycin,Rapamycin,UT,female,14 mg/kg food,life,9 months,UM-HET3 mice,Genetically homogenous popluation,University of Texas (UT)
407,"Miller, R. A. and Harrison, D. E. and Astle, C. M. and Baur, J. A. and Boyd, A. R. and de Cabo, R. and Fernandez, E. and Flurkey, K. and Javors, M. A. and Nelson, J. F. and Orihuela, C. J. and Pletcher, S. and Sharp, Z. D. and Sinclair, D. and Starnes, J. W. and Wilkinson, J. E. and Nadon, N. L. and Strong, R.","Rapamycin, but not resveratrol or simvastatin, extends life span of genetically heterogeneous mice",2011,851,50,,,932,50,,,median,table 2,mice,Rapamycin,Rapamycin,UM,male,14 mg/kg food,life,9 months,UM-HET3 mice,Genetically homogenous popluation,University of Michigan (UM)
408,"Miller, R. A. and Harrison, D. E. and Astle, C. M. and Baur, J. A. and Boyd, A. R. and de Cabo, R. and Fernandez, E. and Flurkey, K. and Javors, M. A. and Nelson, J. F. and Orihuela, C. J. and Pletcher, S. and Sharp, Z. D. and Sinclair, D. and Starnes, J. W. and Wilkinson, J. E. and Nadon, N. L. and Strong, R.","Rapamycin, but not resveratrol or simvastatin, extends life span of genetically heterogeneous mice",2011,889,50,,,1077,50,,,median,table 2,mice,Rapamycin,Rapamycin,TJL,female,14 mg/kg food,life,9 months,UM-HET3 mice,Genetically homogenous popluation,The Jackson Laboratory (TJL)
409,"Miller, R. A. and Harrison, D. E. and Astle, C. M. and Baur, J. A. and Boyd, A. R. and de Cabo, R. and Fernandez, E. and Flurkey, K. and Javors, M. A. and Nelson, J. F. and Orihuela, C. J. and Pletcher, S. and Sharp, Z. D. and Sinclair, D. and Starnes, J. W. and Wilkinson, J. E. and Nadon, N. L. and Strong, R.","Rapamycin, but not resveratrol or simvastatin, extends life span of genetically heterogeneous mice",2011,891,50,,,1008,50,,,median,table 2,mice,Rapamycin,Rapamycin,UM,female,14 mg/kg food,life,9 months,UM-HET3 mice,Genetically homogenous popluation,University of Michigan (UM)
410,"Miller, R. A. and Harrison, D. E. and Astle, C. M. and Fernandez, E. and Flurkey, K. and Han, M. and Javors, M. A. and Li, X. and Nadon, N. L. and Nelson, J. F. and Pletcher, S. and Salmon, A. B. and Sharp, Z. D. and Van Roekel, S. and Winkleman, L. and Strong, R.",Rapamycin-mediated lifespan increase in mice is dose and sex dependent and metabolically distinct from dietary restriction,2014,807,300,,,834,156,,,median,table 1,mice,Rapamycin,Rapamycin,Rapamycin (4.7),male,4.7 ppm,life,9 months,UM-HET3 mice,Genetically homogenous popluation,
411,"Miller, R. A. and Harrison, D. E. and Astle, C. M. and Fernandez, E. and Flurkey, K. and Han, M. and Javors, M. A. and Li, X. and Nadon, N. L. and Nelson, J. F. and Pletcher, S. and Salmon, A. B. and Sharp, Z. D. and Van Roekel, S. and Winkleman, L. and Strong, R.",Rapamycin-mediated lifespan increase in mice is dose and sex dependent and metabolically distinct from dietary restriction,2014,807,300,,,909,156,,,median,table 1,mice,Rapamycin,Rapamycin,Rapaymcin (14),male,14 ppm,life,9 months,UM-HET3 mice,Genetically homogenous popluation,
412,"Miller, R. A. and Harrison, D. E. and Astle, C. M. and Fernandez, E. and Flurkey, K. and Han, M. and Javors, M. A. and Li, X. and Nadon, N. L. and Nelson, J. F. and Pletcher, S. and Salmon, A. B. and Sharp, Z. D. and Van Roekel, S. and Winkleman, L. and Strong, R.",Rapamycin-mediated lifespan increase in mice is dose and sex dependent and metabolically distinct from dietary restriction,2014,807,300,,,992,156,,,median,table 1,mice,Rapamycin,Rapamycin,Rapamycin (42),male,42 ppm,life,9 months,UM-HET3 mice,Genetically homogenous popluation,
413,"Miller, R. A. and Harrison, D. E. and Astle, C. M. and Fernandez, E. and Flurkey, K. and Han, M. and Javors, M. A. and Li, X. and Nadon, N. L. and Nelson, J. F. and Pletcher, S. and Salmon, A. B. and Sharp, Z. D. and Van Roekel, S. and Winkleman, L. and Strong, R.",Rapamycin-mediated lifespan increase in mice is dose and sex dependent and metabolically distinct from dietary restriction,2014,896,280,,,1043,136,,,median,table 1,mice,Rapamycin,Rapamycin,Rapamycin (4.7),female,4.7 ppm,life,9 months,UM-HET3 mice,Genetically homogenous popluation,
414,"Miller, R. A. and Harrison, D. E. and Astle, C. M. and Fernandez, E. and Flurkey, K. and Han, M. and Javors, M. A. and Li, X. and Nadon, N. L. and Nelson, J. F. and Pletcher, S. and Salmon, A. B. and Sharp, Z. D. and Van Roekel, S. and Winkleman, L. and Strong, R.",Rapamycin-mediated lifespan increase in mice is dose and sex dependent and metabolically distinct from dietary restriction,2014,896,280,,,1086,136,,,median,table 1,mice,Rapamycin,Rapamycin,Rapaymcin (14),female,14 ppm,life,9 months,UM-HET3 mice,Genetically homogenous popluation,
415,"Miller, R. A. and Harrison, D. E. and Astle, C. M. and Fernandez, E. and Flurkey, K. and Han, M. and Javors, M. A. and Li, X. and Nadon, N. L. and Nelson, J. F. and Pletcher, S. and Salmon, A. B. and Sharp, Z. D. and Van Roekel, S. and Winkleman, L. and Strong, R.",Rapamycin-mediated lifespan increase in mice is dose and sex dependent and metabolically distinct from dietary restriction,2014,896,280,,,1132,136,,,median,table 1,mice,Rapamycin,Rapamycin,Rapamycin (42),female,42 ppm,life,9 months,UM-HET3 mice,Genetically homogenous popluation,
416,"Mitchell, S. J. and Bernier, M. and Mattison, J. A. and Aon, M. A. and Kaiser, T. A. and Anson, R. M. and Ikeno, Y. and Anderson, R. M. and Ingram, D. K. and de Cabo, R.",Daily Fasting Improves Health and Survival in Male Mice Independent of Diet Composition and Calories,2019,105.7,45,24.14953416,3.6,121.1,40,22.76839915,3.6,mean,table s3,mice,Fasted,Dietary restriction,NIA - MF,male,Meal-Fed,life,4 months,C57BL/6J,Diet,
417,"Mitchell, S. J. and Bernier, M. and Mattison, J. A. and Aon, M. A. and Kaiser, T. A. and Anson, R. M. and Ikeno, Y. and Anderson, R. M. and Ingram, D. K. and de Cabo, R.",Daily Fasting Improves Health and Survival in Male Mice Independent of Diet Composition and Calories,2019,105.7,45,24.14953416,3.6,140.6,59,23.81155182,3.1,mean,table s3,mice,Percent Reduction,Dietary restriction,NIA-CR,male,70%,life,4 months,C57BL/6J,Diet,
418,"Mitchell, S. J. and Bernier, M. and Mattison, J. A. and Aon, M. A. and Kaiser, T. A. and Anson, R. M. and Ikeno, Y. and Anderson, R. M. and Ingram, D. K. and de Cabo, R.",Daily Fasting Improves Health and Survival in Male Mice Independent of Diet Composition and Calories,2019,106.8,44,20.5630737,3.1,118.5,41,23.69155968,3.7,mean,table s3,mice,Fasted,Dietary restriction,WIS-MF,male,Meal-Fed,life,4 months,C57BL/6J,Diet,
419,"Mitchell, S. J. and Bernier, M. and Mattison, J. A. and Aon, M. A. and Kaiser, T. A. and Anson, R. M. and Ikeno, Y. and Anderson, R. M. and Ingram, D. K. and de Cabo, R.",Daily Fasting Improves Health and Survival in Male Mice Independent of Diet Composition and Calories,2019,106.8,44,20.5630737,3.1,136.2,62,23.62202362,3,mean,table s3,mice,Percent Reduction,Dietary restriction,WIS-CR,male,70%,life,4 months,C57BL/6J,Diet,
420,"Mitchell, S. J. and Bernier, M. and Mattison, J. A. and Aon, M. A. and Kaiser, T. A. and Anson, R. M. and Ikeno, Y. and Anderson, R. M. and Ingram, D. K. and de Cabo, R.",Daily Fasting Improves Health and Survival in Male Mice Independent of Diet Composition and Calories,2019,107.6,89,22.64155472,2.4,119.8,81,23.4,2.6,mean,table s3,mice,Fasted,Dietary restriction,Combinded - MF,male,Meal-Fed,life,4 months,C57BL/6J,Diet,
421,"Mitchell, S. J. and Bernier, M. and Mattison, J. A. and Aon, M. A. and Kaiser, T. A. and Anson, R. M. and Ikeno, Y. and Anderson, R. M. and Ingram, D. K. and de Cabo, R.",Daily Fasting Improves Health and Survival in Male Mice Independent of Diet Composition and Calories,2019,107.6,89,22.64155472,2.4,138.5,12,7.274613392,2.1,mean,table s3,mice,Percent Reduction,Dietary restriction,Combined - CR,male,70%,life,4 months,C57BL/6J,Diet,
422,"Mitchell, S. J. and Bernier, M. and Mattison, J. A. and Aon, M. A. and Kaiser, T. A. and Anson, R. M. and Ikeno, Y. and Anderson, R. M. and Ingram, D. K. and de Cabo, R.",Daily Fasting Improves Health and Survival in Male Mice Independent of Diet Composition and Calories,2019,103.7,45,,,122.9,40,,,median,table s3,mice,Fasted,Dietary restriction,NIA - MF,male,Meal-Fed,life,4 months,C57BL/6J,Diet,
423,"Mitchell, S. J. and Bernier, M. and Mattison, J. A. and Aon, M. A. and Kaiser, T. A. and Anson, R. M. and Ikeno, Y. and Anderson, R. M. and Ingram, D. K. and de Cabo, R.",Daily Fasting Improves Health and Survival in Male Mice Independent of Diet Composition and Calories,2019,103.7,45,,,140.1,59,,,median,table s3,mice,Percent Reduction,Dietary restriction,NIA-CR,male,70%,life,4 months,C57BL/6J,Diet,
424,"Mitchell, S. J. and Bernier, M. and Mattison, J. A. and Aon, M. A. and Kaiser, T. A. and Anson, R. M. and Ikeno, Y. and Anderson, R. M. and Ingram, D. K. and de Cabo, R.",Daily Fasting Improves Health and Survival in Male Mice Independent of Diet Composition and Calories,2019,107,89,,,121.7,81,,,median,table s3,mice,Fasted,Dietary restriction,Combinded - MF,male,Meal-Fed,life,4 months,C57BL/6J,Diet,
425,"Mitchell, S. J. and Bernier, M. and Mattison, J. A. and Aon, M. A. and Kaiser, T. A. and Anson, R. M. and Ikeno, Y. and Anderson, R. M. and Ingram, D. K. and de Cabo, R.",Daily Fasting Improves Health and Survival in Male Mice Independent of Diet Composition and Calories,2019,107,89,,,140.1,12,,,median,table s3,mice,Percent Reduction,Dietary restriction,Combined - CR,male,70%,life,4 months,C57BL/6J,Diet,
426,"Mitchell, S. J. and Bernier, M. and Mattison, J. A. and Aon, M. A. and Kaiser, T. A. and Anson, R. M. and Ikeno, Y. and Anderson, R. M. and Ingram, D. K. and de Cabo, R.",Daily Fasting Improves Health and Survival in Male Mice Independent of Diet Composition and Calories,2019,108.3,44,,,115.9,41,,,median,table s3,mice,Fasted,Dietary restriction,WIS-MF,male,Meal-Fed,life,4 months,C57BL/6J,Diet,
427,"Mitchell, S. J. and Bernier, M. and Mattison, J. A. and Aon, M. A. and Kaiser, T. A. and Anson, R. M. and Ikeno, Y. and Anderson, R. M. and Ingram, D. K. and de Cabo, R.",Daily Fasting Improves Health and Survival in Male Mice Independent of Diet Composition and Calories,2019,108.3,44,,,136.6,62,,,median,table s3,mice,Percent Reduction,Dietary restriction,WIS-CR,male,70%,life,4 months,C57BL/6J,Diet,
428,"Mitchell, S. J. and Madrigal-Matute, J. and Scheibye-Knudsen, M. and Fang, E. and Aon, M. and Gonzalez-Reyes, J. A. and Cortassa, S. and Kaushik, S. and Gonzalez-Freire, M. and Patel, B. and Wahl, D. and Ali, A. and Calvo-Rubio, M. and Buron, M. I. and Guiterrez, V. and Ward, T. M. and Palacios, H. H. and Cai, H. and Frederick, D. W. and Hine, C. and Broeskamp, F. and Habering, L. and Dawson, J. and Beasley, T. M. and Wan, J. and Ikeno, Y. and Hubbard, G. and Becker, K. G. and Zhang, Y. and Bohr, V. A. and Longo, D. L. and Navas, P. and Ferrucci, L. and Sinclair, D. A. and Cohen, P. and Egan, J. M. and Mitchell, J. R. and Baur, J. A. and Allison, D. B. and Anson, R. M. and Villalba, J. M. and Madeo, F. and Cuervo, A. M. and Pearson, K. J. and Ingram, D. K. and Bernier, M. and de Cabo, R.","Effects of Sex, Strain, and Energy Intake on Hallmarks of Aging in Mice",2016,598.5,63,,,756.2,58,,,mean,table s1,mice,Percent Reduction,Dietary restriction,D2F,female,80%,life,6 months,DBA2/J,None,
429,"Mitchell, S. J. and Madrigal-Matute, J. and Scheibye-Knudsen, M. and Fang, E. and Aon, M. and Gonzalez-Reyes, J. A. and Cortassa, S. and Kaushik, S. and Gonzalez-Freire, M. and Patel, B. and Wahl, D. and Ali, A. and Calvo-Rubio, M. and Buron, M. I. and Guiterrez, V. and Ward, T. M. and Palacios, H. H. and Cai, H. and Frederick, D. W. and Hine, C. and Broeskamp, F. and Habering, L. and Dawson, J. and Beasley, T. M. and Wan, J. and Ikeno, Y. and Hubbard, G. and Becker, K. G. and Zhang, Y. and Bohr, V. A. and Longo, D. L. and Navas, P. and Ferrucci, L. and Sinclair, D. A. and Cohen, P. and Egan, J. M. and Mitchell, J. R. and Baur, J. A. and Allison, D. B. and Anson, R. M. and Villalba, J. M. and Madeo, F. and Cuervo, A. M. and Pearson, K. J. and Ingram, D. K. and Bernier, M. and de Cabo, R.","Effects of Sex, Strain, and Energy Intake on Hallmarks of Aging in Mice",2016,598.5,63,,,773.4,61,,,mean,table s1,mice,Percent Reduction,Dietary restriction,D2F,female,60%,life,6 months,DBA2/J,None,
430,"Mitchell, S. J. and Madrigal-Matute, J. and Scheibye-Knudsen, M. and Fang, E. and Aon, M. and Gonzalez-Reyes, J. A. and Cortassa, S. and Kaushik, S. and Gonzalez-Freire, M. and Patel, B. and Wahl, D. and Ali, A. and Calvo-Rubio, M. and Buron, M. I. and Guiterrez, V. and Ward, T. M. and Palacios, H. H. and Cai, H. and Frederick, D. W. and Hine, C. and Broeskamp, F. and Habering, L. and Dawson, J. and Beasley, T. M. and Wan, J. and Ikeno, Y. and Hubbard, G. and Becker, K. G. and Zhang, Y. and Bohr, V. A. and Longo, D. L. and Navas, P. and Ferrucci, L. and Sinclair, D. A. and Cohen, P. and Egan, J. M. and Mitchell, J. R. and Baur, J. A. and Allison, D. B. and Anson, R. M. and Villalba, J. M. and Madeo, F. and Cuervo, A. M. and Pearson, K. J. and Ingram, D. K. and Bernier, M. and de Cabo, R.","Effects of Sex, Strain, and Energy Intake on Hallmarks of Aging in Mice",2016,616.5,60,,,681.6,59,,,mean,table s1,mice,Percent Reduction,Dietary restriction,D2M,male,80%,life,6 months,DBA2/J,None,
431,"Mitchell, S. J. and Madrigal-Matute, J. and Scheibye-Knudsen, M. and Fang, E. and Aon, M. and Gonzalez-Reyes, J. A. and Cortassa, S. and Kaushik, S. and Gonzalez-Freire, M. and Patel, B. and Wahl, D. and Ali, A. and Calvo-Rubio, M. and Buron, M. I. and Guiterrez, V. and Ward, T. M. and Palacios, H. H. and Cai, H. and Frederick, D. W. and Hine, C. and Broeskamp, F. and Habering, L. and Dawson, J. and Beasley, T. M. and Wan, J. and Ikeno, Y. and Hubbard, G. and Becker, K. G. and Zhang, Y. and Bohr, V. A. and Longo, D. L. and Navas, P. and Ferrucci, L. and Sinclair, D. A. and Cohen, P. and Egan, J. M. and Mitchell, J. R. and Baur, J. A. and Allison, D. B. and Anson, R. M. and Villalba, J. M. and Madeo, F. and Cuervo, A. M. and Pearson, K. J. and Ingram, D. K. and Bernier, M. and de Cabo, R.","Effects of Sex, Strain, and Energy Intake on Hallmarks of Aging in Mice",2016,616.5,60,,,680,61,,,mean,table s1,mice,Percent Reduction,Dietary restriction,D2M,male,60%,life,6 months,DBA2/J,None,
432,"Mitchell, S. J. and Madrigal-Matute, J. and Scheibye-Knudsen, M. and Fang, E. and Aon, M. and Gonzalez-Reyes, J. A. and Cortassa, S. and Kaushik, S. and Gonzalez-Freire, M. and Patel, B. and Wahl, D. and Ali, A. and Calvo-Rubio, M. and Buron, M. I. and Guiterrez, V. and Ward, T. M. and Palacios, H. H. and Cai, H. and Frederick, D. W. and Hine, C. and Broeskamp, F. and Habering, L. and Dawson, J. and Beasley, T. M. and Wan, J. and Ikeno, Y. and Hubbard, G. and Becker, K. G. and Zhang, Y. and Bohr, V. A. and Longo, D. L. and Navas, P. and Ferrucci, L. and Sinclair, D. A. and Cohen, P. and Egan, J. M. and Mitchell, J. R. and Baur, J. A. and Allison, D. B. and Anson, R. M. and Villalba, J. M. and Madeo, F. and Cuervo, A. M. and Pearson, K. J. and Ingram, D. K. and Bernier, M. and de Cabo, R.","Effects of Sex, Strain, and Energy Intake on Hallmarks of Aging in Mice",2016,757,50,,,1041.6,50,,,mean,table s1,mice,Percent Reduction,Dietary restriction,B6F,female,80%,life,6 months,C57BL/6,None,
